date,torch,git,A_core_gap,B_missing_op,B_decomp_fail,C_dtype_partial,D_backward_gap,open_gaps
2026-07-07,2.14.0.dev20260707,91ee0e8a8ae,2,115,35,102,21,275
2026-07-08,2.14.0.dev20260708,566bb9719b0,2,115,35,102,21,275
2026-07-09,2.14.0.dev20260709,a45851c5e81,2,115,35,104,21,277
2026-07-10,2.14.0.dev20260710,0ce05af6274,2,115,35,104,21,277
2026-07-11,2.14.0.dev20260711,b2b98e00da5,2,112,34,103,21,272
2026-07-12,2.14.0.dev20260712,33419e59913,2,112,34,103,21,272
2026-07-13,2.14.0.dev20260713,9bfc8327270,2,112,34,103,21,272
2026-07-14,2.14.0.dev20260713,9bfc8327270,2,112,34,103,21,272
2026-07-15,2.14.0.dev20260715,bd4737c8f59,2,111,33,102,21,269
2026-07-16,2.14.0.dev20260716,0e2a3db0bed,2,111,33,102,21,269
2026-07-17,2.14.0.dev20260717,0f7df02b689,2,111,33,102,21,269
2026-07-18,2.14.0.dev20260718,9c383c96662,2,111,33,102,21,269
2026-07-19,2.14.0.dev20260719,194fcb011f0,2,109,33,103,21,268
2026-07-20,2.14.0.dev20260720,3f8a4a18622,2,109,33,103,21,268
2026-07-21,2.14.0.dev20260721,1e33b86aec6,2,109,33,103,21,268
2026-07-22,2.14.0.dev20260722,ed794ce7e68,2,109,33,103,21,268
2026-07-23,2.14.0.dev20260723,77b8883fd9e,2,109,33,103,21,268
2026-07-24,2.14.0.dev20260724,8a3007010a9,2,109,33,103,21,268
2026-07-25,2.14.0.dev20260725,6cbd220ad4a,2,109,33,103,21,268
2026-07-26,2.14.0.dev20260726,6f6de6a2a1b,2,109,33,103,21,268
2026-07-27,2.14.0.dev20260727,ee6a51f8364,2,109,33,103,21,268
2026-07-28,2.14.0.dev20260728,84e88294a1f,2,109,33,105,21,270
2026-07-29,2.14.0.dev20260729,1b08b6b622e,2,109,33,105,21,270
2026-07-30,2.14.0.dev20260730,80ba33e2200,2,109,33,105,21,270
2026-07-31,2.14.0.dev20260731,265f426bd11,2,114,33,105,21,275
2026-08-01,2.14.0.dev20260801,69231fe37ab,2,114,33,105,21,275
2026-08-02,2.14.0.dev20260802,944416f66ed,2,114,33,105,21,275
2026-08-03,2.14.0.dev20260802,944416f66ed,2,114,33,105,21,275
2026-08-04,2.14.0.dev20260804,0163eec5ea4,2,114,33,106,21,276
2026-08-05,2.14.0.dev20260805,f012e05e101,2,114,33,106,21,276
2026-08-06,2.14.0.dev20260806,6e62e4d8b3d,2,114,33,106,21,276
2026-08-07,2.14.0.dev20260807,b99937c121c,2,114,33,106,21,276
2026-08-08,2.14.0.dev20260808,4e05b334ccd,2,114,33,106,21,276
2026-08-09,2.14.0.dev20260808,4e05b334ccd,2,114,33,106,21,276
2026-08-10,2.14.0.dev20260810,2d8a7a26fb4,2,114,33,127,21,297
2026-08-11,2.14.0.dev20260811,50e2fa0ee83,2,114,33,146,21,316
2026-08-12,2.15.0.dev20260812,3eb0e5d0968,2,110,30,146,21,309
2026-08-13,2.15.0.dev20260813,644e799e34e,2,110,30,146,21,309
2026-08-14,2.15.0.dev20260814,4ceff438d0b,2,110,30,146,21,309
2026-08-15,2.15.0.dev20260815,461e8d2656f,2,108,30,155,21,316
2026-08-16,2.15.0.dev20260816,855e6dad295,2,108,30,155,21,316
2026-08-17,2.15.0.dev20260817,fa4d6022b93,2,108,30,155,21,316
2026-08-18,2.15.0.dev20260818,e0474491d78,2,108,30,157,21,318
2026-08-19,2.15.0.dev20260819,f38bcb805f8,2,108,30,157,21,318
2026-08-20,2.15.0.dev20260820,a69ffdbc0fa,2,108,30,157,19,316
2026-08-21,2.15.0.dev20260821,cef373b3440,2,108,30,157,19,316
